;ProcessNumber;ContractingInstitutionName;CIAddress;CICity;CICPostalCode;Subject;ProcurementName;ShipmentLocationDescription;IsSectorAgreement;CentralInstitution;GroupProcurement;ContractTermination;ZPJN;IsDevided;AgreementStartDate;AgreementEndDate;AgreeementDurationMonthsDays;ProcedureName;OfferTypeName;UseElectronicTools;ContractDate;ContractNumber;NumberOfOffers;HighestOfferValue;LowestOfferValue;VendorName;VendorAddress;VendorCity;VendorState;GroupBid;EstimatedPrice;ContractPriceWithoutVat;Vat;ContractPrice;DateOfDispatchBJN
0;2/2019;Министерство за здравство;Ул. 50-та Девизија бр.14;Скопје;1000;Осигурување при регистрација на службените возила на Министерството за здравство;Услуги;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-06-05;;;;;Акционерско друштво ЕВРОИНС ОСИГУРУВАЊЕ Скопје;;;;Не;;;;183860.0;2019-07-09
1;13/2019;Општина Свети Николе;Плоштад Илинден бр:12;Свети Николе;2220;Пластични канти за отпад;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-04-10;;;;;Друштво за производство трговија и услуги АКВАФРИПЛАСТ ДООЕЛ увоз-извоз Скопје;;;;Не;;;;471528.0;2020-02-12
2;02-35/4/2019;ЈУМЦСР ДЕБАР;Атанасие Илиќ бр.45;Дебар;1250;ТОНЕРИ;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-03-18;;;;;Друштво за трговија и услуги УНИВЕРСАЛ СТОРЕ ДООЕЛ Дебар;;;;Не;;;;61997.0;2020-12-14
3;18/2019;Министерство за здравство;Ул. 50-та Девизија бр.14;Скопје;1000;Изработка на проектно-техничка документација - Основен проект за изработка на дво-воден кров и поправки на оштетувања од протекувања на објект од ЈЗУ ЗД Дебар;Услуги;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-07-23;;;;;Друштво за производство,градежништво,услуги и трговија МАРТИН ИНЖЕНЕРИНГ ДООЕЛ увоз-извоз Скопје;;;;Не;;;;293820.0;2019-11-06
4;013/2019;КЈП Водовод Кочани;Д-р Николич 64;Кочани;2300;Набавка на капаци , шахти и сливници;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-04-12;;;;;Друштво за производство,трговија и услуги ВОДОПЛАСТ ДОО увоз-извоз Кочани;;;;Не;;;;434240.0;2019-05-31
5;;Општина Кичево;Борис Кидрич.1;Кичево;6250;Хотелски Услуги;Услуги;;Не;Не;Не;Не;;Не;;;;Доделување на договор за јавна набавка за категорија на услуги 17- 27;Цена;Не;2019-09-10;;;;;Друштво за трговија, угостителство и услуги МАРГОТРИ ГРУП  експорт-импорт ДООЕЛ Кичево;;;;Не;;;;1180000.0;2020-04-03
6;31/2018;ЈП Водовод Куманово;Фетка Наскова бр. 22;Куманово;1300;Набавка на заштитни обувки;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2018-12-24;;;;;Друштво за трговија МУЛТИТЕКС ДОО увоз-извоз Битола;;;;Не;;;;650156.4;2020-02-17
7;3/2019;ЈЗУ Здравствен дом д-р.Иван Георгиев -Пехчево;Индустриска 5;Пехчево;2326;реагенс за одредување на глукоза  ензиматска  GOD-PAP метода или еквивалентно   500   mL   3.000, реагенс со LCF за одредување на  триглицериди ензиматска  GPO-PAP метода или еквивалентно    500   mL   3.000, реагенс со LCF за одредување на холестерол ензиматска  CHOD-PAP метода или еквивалентно     500    mL    3.000, реагенс за уреа, кинетичко одредување  уреаза/GLDH метода или еквивалентно   500   mL   2.500, реагенс за креатинин, “modJaffe”   метода или кинетичко одредување или  евивалентно стабилноста на работн.реагенс на температура од 15-25 °C да биде минимум две до четири недели        500      mL      2.300, реагенс за AST,  IFCC метода или еквивалентно стабилноста на работ. реагенс на темпер. од 2-8 °C биде минимум 30 дена и повеќе     400     mL     2.000, реагенс за одредување на ALT,  IFCC метода или еквивалентно стабилноста на работн. реагенс на темпертура од 2-8 °C биде минимум 30 дена и повеќе      400        mL       2.000, реагенс за одредување на ALT,  IFCC метода или еквивалентно стабилноста на работн. реагенс на темпертура од 2-8 °C биде минимум 30 дена и повеќе      400        mL       2.000, реагенс  за одредување на  ALP, IFCC метода или еквивалентно стабилноста на работн. реагенс на темпертура од 2-8 °C биде минимум 30 дена и повеќе      100      mL      150, реагенс за одредување на GGT,  IFCC метода или еквивалентно стабилноста на работн. реагенс на темпертура од 2-8 °C биде минимум 30 дена и повеќе      100      mL      150, реагенс за одредување на алфа амилаза, IFCC метода или еквивалентно стабилноста на реаген. реагенс на температура од 2-8 °C да биде минимум 30 дена и повеќе по отварањето       100       mL       150, реагенс за одредување на  CК-МB, имуноинхибициона метода или еквивалентно стабилноста на работн. реагенс на темпертура од 2-8 °C биде минимум 30 дена и повеќе      100      mL      150, ASO, квалитативно и семиквантитативно одредување аглутинациски тест со плочки и + и- контрола или еквивалентно    150    тест    200, CRP, квалитативно и семиквантитативно одредување аглутинациски тест со плочки и + и- контрола или еквивалентно    100    тест    150, RF, квалитативно и семиквантитативно одредување аглутинациски тест со плочки и + и- контрола или еквивалентно    150    тест    200, реагенс за одредување на железо колориметриска ферозин метода или еквивалентно   400   mL   1500, реагенс со LCF за одредување на железо колориметриска  (CAB) метода   400   mL   800, реагенс за одредување на калциум ортокрезолфталеин метода или еквивалентно   100   mL   100, реагенс за одредување на фосфор фосфомолибдатнаметодаилиеквивалентно   100   mL   100, реагенс со LCF одредување на  магнеизум ксилидил сино метода или еквивалентно  200  mL  100, HbA1с, point-of Care (POC) одредување метода афинитетна хроматограф., имунофлуоресцентна метода или еквивалентно      25-30    тест    200, реагенс за одредување на тотален билирубин Јендраксик – гроф метода или еквивалентно   200   mL   250, реагенс за одредување на директен  билирубин Јендраксик – гроф метода или еквивалентно    200    mL    250, контролен серум- за биохемиски анализи (патолошки)    контролниот серум  да биде производ од човечки серум- лиофилизат, да ги има вредностите за следните тестови: глукоза, уреа, креатинин, триглицериди, вк. холестерол, вк. протеини, вкупен и директен билирубин, фосфор, вкупен калциум, магнезиум, железо,  HDL холестерол, LDL холестерол, ацидум урикум, албумин, AST, ALT, ALP, LDH, CK-NAC, GGT, α-амилаза             25             mL             20, вкупен тироксин (Т4),  рoint-of-Care (POC) одредување  имунофлуоресцентнаметодаилиеквивалентно  25  тест  200, тиреостимулирачки хормон (TSH),   рoint-of-Care (POC) одредување  имунофлуоресцентнаметодаилиеквивалентно  25  тест  250, простата специфичен антиген (PSA),  рoint-of-Care (POC) одредување  имунофлуоресцентна метода или еквивалентно  25  тест   175;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-05-10;;;;;Друштво за промет и услуги Л & Н & Т ДИАГНОСТИК ДООЕЛ Скопје;;;;Не;;;;199340.23;2020-11-26
8;3/2019;ЈЗУ Здравствен дом д-р.Иван Георгиев -Пехчево;Индустриска 5;Пехчево;2326;реагенс калибратор за електролитен анализатор Smartlyte или еквивалентно   парче   2, Ca електрода за електролитен анализатор Smartlyte или еквивалентно   парче   1, црево за перисталтична пумпа за електролитен анализатор Smartlyte или еквивалентно    парче    1, црево за вентилно спојување за електролитен анализатор Smartlyte или еквивалентно    парче    1, куќиште за референтна електрода за електролитен анализатор Smartlyte или еквивалентно    парче    1, реагенс за разредување (дилуент) реагенсот да биде баркод кодиран компатибилен за хематолошкиот анализатор  SYSMEX XP-300, во пакување од 20L         L         180      реагенс за лизирање реагенсот да биде баркод кодиран компатибилен за хематолошки анализатор  SYSMEXXP-300, во пакување од 0,5L         L         9, реагенс за концентрирано испирање (клинер) реагенсот да биде баркод кодиран компатибилен за хематолошки анализатор  SYSMEXXP-300, во пакување од 50 ml           ml          200 контролна крв за крвна слика (патолошка или нормална) контролната крв да биде баркод кодирана, контролната крв да ги има вредностите на следните параметри, Er, Le, Tr, Hb, HCT, MCV, MCH, MCHC, PCT, RDW, MPV, PDW, LYM, MON, GRA          ml          32,2;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-05-10;;;;;Друштво за промет и консалтинг ФАРМАХЕМ ДООЕЛ Скопје;;;;Не;;;;225683.26;2020-11-26
9;30/2018;ЈП Водовод Куманово;Фетка Наскова бр. 22;Куманово;1300;Антифриз,глицерин и други средства;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2018-11-27;;;;;Друштво за производство на моторни и индустриски масла,трговија и услуги 3 СТ увоз-извоз ДООЕЛ Илинден;;;;Не;;;;234762.18;2020-02-17
